Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
(PBC)A Treatise of Human Nature,9780140432442.0,63.0,David Hume,penguin uk,1985-10-31,英国,,128,1,0,1,31.81,General / Misc
(PBC)Essays and Letters,9780140447088.0,63.0,Friedrich Holderlin,penguin uk,2004-08-26,英国,,838.60,1,0,1,4.91,Literature
24个比利,9787508691664.0,48.0,(美)凯斯著,中信出版集团股份有限公司,2018,北京,432页,I712.45,1,0,1,,Literature
5 Things to Do with a Penknife,9781911216865.0,37.0,Matt Collins,Pavilion Books,2017-08-03,英国,,621.93,1,0,1,1.99,Science
55 Successful Harvard Law Essays （2nd Edition）,9781250047236.0,50.0,Staff of the Harvard Crimson,Square Fish,2014-07-08,美国,,340.07,1,0,1,66.58,Social Sciences
A Thousand Splendid Suns,9781594483073.0,35.0,Khaled Hosseini,Penguin USA,2008-05-06,美国,,813.6,2,1,3,30.09,Literature
"A tree grows in Brooklyn, : a novel",9780060736262.0,41.0,"Smith, Betty",Harpercollins,2005,New York,493,813.52,2,0,2,47.9,Literature
ABC谋杀案,9787513341790.0,42.0,"(英)阿加莎·克里斯蒂 (Christie, Agatha 1890~1976) 著",新星出版社,2020,北京,235页,I561.45,1,0,1,23.81,Literature
AI经济,9787213100970.0,109.0,(英)布特尔著,浙江人民出版社,2021,杭州,352页,F0-39,1,0,1,,Social Sciences
Among Others,9781472106537.0,32.0,Jo Walton,Little Brown UK,2013-03-21,英国,,823.91,1,0,1,,Literature
Anna Karenina,9780140449174.0,65.0,Leo Tolstoy,Macmillan,2006.12,UK,,891.733,1,0,1,30.19,Literature
Artists : their lives and works,9780241226186.0,113.0,"
&nbsp;
",,,,,709.2,1,0,1,15.21,Arts
Babel-17/Empire Star,9780575094208.0,37.0,Samuel R. Delany,Orion Publishing Group,2010-03-29,英国,,813.54,2,0,2,7.59,Literature
Bantam Classics：Pride And Prejudice,9780553213102.0,13.0,Jane Austen,Bantam Classics,1983-12-01,美国,,823.7,1,0,1,45.98,Literature
Barron's巴朗SAT 16 专著 = Barron's SAT 16,9787519211202.0,70.0,卡尔内瓦莱,世界图书出版公司北京公司,2016,北京,"15,453 ",IB-7-R.B-1,1,0,1,,General / Misc
Before I Fall,9780340980903.0,45.0,Lauren Oliver,Hodder,2010-07-22,英国,,813.6,1,0,1,32.15,Literature
Biology Option A: Neurobiology and Behaviour SL&HL,9781910689066.0,122.0,Ashby Merson-Dabies,OSC,2015,UK,49,IB-4-BI-2,1,1,2,48.01,Science
Breaking dawn,9781907410512.0,75.0,"Meyer, Stephenie,","Atom,",2010      ,London,702 pages ,813.6,1,0,1,41.73,Literature
Brief Answers to the Big Questions,9781473695993.0,49.0,Stephen Hawking,John Murray Publisher,2020-03-05,英国,,500,1,0,1,66.58,Science
Campbell Essential Biology (6th Edition),9780133917789.0,1060.0,Simon Dickey Hogan Reece,,          ,,452页     ,IB-4-BI-2,2,0,2,0.26,Science
Chemistry for the IB Diploma Coursebook with Digital Access (2 Years) [With Access Code],9781009052658.0,398.0,"Owen, Steve",Cambridge University Press,2023-09-07,,704 页,IB-4-CH-3,1,0,1,13.84,Science
Chemistry for the Ib Diploma Workbook With CD-ROM,9781316634950.0,186.0,"Paris, Jacqueline",Cambridge University Press,,,0,IB-4-CH-3,1,0,1,,Science
Children of Dune,9780593098240.0,68.0,"Herbert, Frank",Ace Books USA,2019,USA,609,813.54,1,0,1,,Literature
Chiltern Classic：Northanger Abbey,9781912714278.0,98.0,Jane Austen,Chiltern Publishing,2019-11-11,美国,,823.7,1,1,2,59.21,Literature
DK-Big Ideas：The Crime Book,9780241298961.0,73.0,Peter James,DK Publishing,2017-04-03,英国,,364.1,1,1,2,48.78,Social Sciences
Disorder in the Court: Great Fractured Moments in Courtroom History,9780393319286.0,74.0,"DIXIT, AVINASH; NAL",W. W. Norton & Company,1999-08-17,美国,,347.73,1,0,1,10.78,Social Sciences
"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",9781983184529.0,151.0,Darius Foroux,Independently published,2018-06-20,,169 页,658,1,0,1,52.79,Science
Dune,9780340960196.0,51.0,Frank Herbert,Hodder,2015-07-16,英国,,813.54,2,0,2,43.49,Literature
Educated : a memoir,9781984854858.0,75.0,"Westover, Tara",Random House US,2018,New York,334,270.092,1,1,2,58.09,Social Sciences
Educated: A Memoir,9780099511021.0,45.0,Tara Westover,Hutchinson,2018-11-02,英国,,270.092,1,1,2,61.58,Social Sciences
Elon Musk: How the Billionaire CEO of SpaceX and ...,9780753555644.0,75.0,"Vance, Ashlee",Ebury Publishing,2016-03-10,,416,338.7629,1,0,1,174.84,Social Sciences
Emma: V&A Collectors Edition,9780241432556.0,68.0,Jane Austen,penguin uk,2021-02-25,英国,,823.7,1,0,1,40.09,Literature
Emotional Design,9780465051366.0,55.0,Don Norman,Basic Books,2005-05-11,美国,,155.911,1,0,1,13.24,General / Misc
Environmental Systems and Societies,9781447990420.0,326.0,"Andrew Davis,Garrett Nagle",Pearson,2015      ,London,492p.     ,IB-4-SC-1,1,0,1,,Science
Essays and Aphorisms,9780140442274.0,41.0,Arthur Schopenhauer and R. J. Hollingdale,Penguin UK,2016-06-02,英国,,193,1,0,1,31.81,General / Misc
Famous Last Words,9780545835626.0,42.0,Katie Alender,SCHOLASTIC US,2015-07-28,美国,,813.6,1,0,1,256.01,Literature
Fantastic Beasts: The Crimes of Grindelwald – The Original Screenplay PB,9780751578287.0,45.0,"Rowling, J.K.",Little Brown UK,2019-11-14,英国,,791.43,1,0,1,7.01,Arts
Foundations Edge,9780553293388.0,31.0,Isaac Asimov,Ballantine Books,1991-10-01,美国,,813.08,1,0,1,52.79,Literature
Freakonomics,9780061956270.0,60.0,Steven D. Levitt,HarperCollins Publishers Inc,2009-08-01,,336,330,2,0,2,36.73,Social Sciences
Grammar 101,9781507203590.0,57.0,Kathleen Sears,Adams Media,2005-09-17,美国,,428.2,1,1,2,48.78,Language
"Hamilton : the revolution : being the complete libretto of the Broadway musical, with a true account of its creation, and concise remarks on hip-hop, the power of stories, and the new America",9781455539741.0,218.0,"Miranda, Lin-Manuel, 1980-; McCarter, Jeremy, 1976-",Grand Central,2016,New York,287,792,1,0,1,3.18,Arts
Hans Christian Andersen's Fairy Tales,9780141329017.0,29.95,retold by Naomi Lewis;illustrations by P,Puffin Books,2010      ,London,181p.     ,839.8136,1,0,1,25.9,Literature
How the Brain Works: The Facts Visually Explained,9780241403372.0,172.0,Editorial Consultant: Rita Carter,DK,2020-03-03,,224 页,612.8,1,0,1,47.01,Science
How to Stay Sane in an Age of Division : From the Booker shortlisted author of 1 Minutes 38 Seconds in This Strange World,9781788165723.0,26.0,Elif Shafak,Profile Books,2020-08-27,英国,,814.6,1,0,1,10.87,Literature
"Human, All Too Human",9780140446173.0,41.0,Friedrich Nietzsche,Penguin UK,2015-10-08,英国,,128,1,0,1,31.81,General / Misc
I Know This to Be True: Ruth Bader Ginsburg ( I Know This to Be True ),9781797200163.0,66.0,"Geoff Blackwell,Ruth Hobday",Chronicle Books,2020-03-24,美国,,347.73,1,0,1,7.02,Social Sciences
I have a dream,9787568905220.0,39.8,Tango著,重庆大学出版社,2017.05   ,重庆,1册       ,J228.2,1,0,1,10.8,Arts
IBM和纳粹,9787218131559.0,68.0,"（美） 布莱克 Black, Edwin((美)埃德温·布莱克(Edwin Black)著)",广州 广东人民出版社 2018,2018,广州,456,K152,1,0,1,108.11,Social Sciences
Ib Diploma Programme Biology 223 Edition Student Book,9781382016339.0,330.0,"Allott, Andrew; Mindorff, David","Oxford University Press, USA",2023-02-09,USA,816 页,IB-4-BI-2,1,0,1,,Science
Ib Diploma Programme Chemistry 2023 Edition Study Guide,9781382016568.0,288.0,"Neuss, Geoffrey",Oxford,2023-10-05,UK,201,IB-4-CH-3,1,0,1,83.04,Science
Ib Diploma Programme Physics 223 Edition Student Book,9781382016599.0,330.0,"Homer, David; Heathcote, William; Pietka, Maciej","Oxford University Press, USA",2023-03-03,UK,720 页,IB-4-PH-5,3,2,5,199.76,Science
Identity,9780571195671.0,35.0,Milan Kundera,Faber and Faber,1999-04-19,英国,,891.86,1,0,1,5.18,Literature
Investing 11,9781440595134.0,45.0,Michele Cagan,Adams Media,2016-01-29,美国,,332.6,1,0,1,11.1,Social Sciences
Jane Austen,9780141397078.0,10.0,Peter Hainsworth,PENGUIN BOOKS,2019,New York,,823.7,1,0,1,2.95,Literature
Kim,9780141442372.0,38.0,Rudyard Kipling,Penguin UK,2000-06-29,英国,,823.8,1,1,2,,Literature
K——英国情人,9787541144493.0,36.0,虹影著,四川文艺出版社,2017      ,成都,257页     ,I561.45,1,0,1,1.88,Literature
