Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
(PBC)Nature and Selected Essays,9780142437629,52.0,Ralph Waldo Emerson,penguin uk,2001-01-01,英国,,814.3,0,0,0,,Literature
1453君士坦丁堡之战,9787520107921,86.0,(英)克劳利著,上海科学技术文献出版社,2017.09   ,上海,500页     ,K546.3,1,0,1,50.67,Social Sciences
1973年的弹子球,9787532765522,47.0,(日)村上春树著,上海译文出版社,2014.05   ,上海,290页     ,I313.45,1,0,1,0.0,Literature
21：太空漫游,9787532170692,62.0,(英)克拉克著,上海文艺出版社,2019,上海,275页,I561.45,0,0,0,,Literature
A Brief History of Time,9780553380163,120.0,"Hawking, Stephen",Bantam,1998-09-01,,224,523.1 ,1,0,1,46.06,Science
A Game of Thrones,9780007448036,45.7,"Martin, George R. R.",,,,801,813.54,0,0,0,,Literature
A Theory of Justice: Original Edition,9780674017726,196.0,"Rawls, John",Harvard University Press,2005-04-30,美国,,320.01,1,0,1,9.33,Social Sciences
A portrait of the artist as a young man,9780143108245,49.0,JamesJoyce,Penguin USA,2016-05-24,美国,,823.91,1,0,1,42.26,Literature
Accounting 11,9781507202920,65.0,"Cagan, Michele",Adams Media Corporation,2017-05-09,New York,272,657,1,0,1,0.02,Science
Alma Classics:Tales of Horror,9781847496096,32.0,Edgar Allan Poe,Alma Books,,UK,311,813.3,1,0,1,6.13,Literature
Alma Classics：The Years,9781847498663,39.0,Virginia Woolf,ALMA BOOKS,2021-09-24,英国,,823.91,0,0,0,,Literature
Amusing Ourselves to Death[娱乐至死],9780143036531,94.0,"Postman, Neil[尼尔·波兹曼]",PENGUIN GROUP,2006      ,NEW YORK,184页     ,302.234,1,0,1,34.12,Social Sciences
Applied Business,9781408504338,232.0,Andrew Hammond,[出版者不详],2009      ,[出版地不,247页     ,IB-3-EB-8,0,0,0,,Social Sciences
Atlas Shrugged,9780451191144,39.0,Ayn Rand,Berkley Books,1996-09-01,美国,,813.52,0,0,0,,Literature
BIOLOGY,72919345,12.0,,McGrawHill,          ,USA,955页     ,IB-4-BI-2,0,0,0,,Science
Bantam Classics: Fifty Great Short Stories,9780553277456,15.0,Milton Crane,Bantam Classics,1983-08-01,美国,,808.83,0,0,0,,Literature
Bantam Classics：Frankenstein,9780553212471,51.0,Mary Shelley,Bantam Classics,1984-05-01,美国,,823.7,0,0,0,,Literature
Bantam Classics：Wuthering Heights,9780553212587,10.0,Emily Bronte,Bantam Classics,1983-10-01,美国,,823.8,1,0,1,6.77,Literature
Barron's 巴朗 AP美国历史,9787519224035,78.0,(美)瑞斯尼克著,世界图书出版公司,2017      ,北京,518页     ,IB-3-H-3,0,0,0,,Social Sciences
Biology : a global approach,9781292341637,588.0,"Campbell, Neil A., 1946-2004; Reece, Jane B.; Urry, Lisa A.; Cain, Michael L. 1956-","Campbell, Urry, Cain, Wasserman, Minorsky, Orr",2021,USA,1345,IB-4-BI-2,0,0,0,,Science
Biology for Edexel International GCSE Workbook,9781510405653,48.0,"Erica Larkcom,Roger Delpech,Kathy Evans",Hodder Education,2017      ,UK.,95p.      ,IB-4-BI-2,0,0,0,,Science
Calvino: Invisible Cities,9781784871888,45.0,Italo Calvino,Random House UK,2009-01-01,英国,,813.6,0,0,0,,Literature
Camus: The Plague,9780241980620,45.0,Albert Camus,Random House UK,2016-09-12,英国,,843.91,0,0,0,,Literature
Catch-22 : a novel,9780099529125,0.0,"Heller, Joseph; Buckley, Christopher, 1952-",VINTAGE,2011,London,536,813.54,0,0,0,,Literature
Chemistry for the Ib Diploma Coursebook,9781107622708,427.0,"Owen, Steve; Hoeben, Peter; Headlee, Mark",Cambridge University Press,2014-03-13,,600,IB-4-CH-3,0,0,0,,Science
Chocolat,9780552998482,37.0,Joanne Harris,Black Swan Books,1999-03-04,英国,,823.91,1,0,1,11.08,Literature
Collected Stories by Franz Kafka,9780679423034,78.0,Franz Kafka,Everyman’s Library USA,1993-10-26,美国,,833.91,0,0,0,,Literature
Cracking the AP Physics C Exam,9781524710132,70.0,Princeton Review,Princeton Review,2017      ,New York,655p.     ,IB-4-PH-5,0,0,0,,Science
"Cracking the AP U.S. History Exam 219, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)",9781524758158,101.0,The Princeton Review,Princeton Review,2018-08-06,,576,IB-3-H-3,0,0,0,,Social Sciences
DK-Big Ideas：The Law Book,9780241410196,89.0,DK,DK Publishing,2020-09-03,英国,,340.09,2,1,3,61.99,Social Sciences
DK-Big Ideas：The Shakespeare Book,9780241182611,95.0,Stanley Wells,DK Publishing,2015-07-15,英国,,822.33,0,0,0,,Literature
DP认识论课程学习指导,9789620447891,235.0,李康华等著,香港三聯書店,2021,香港,275,IB-7-TOK-1,1,0,1,15.96,General / Misc
David and Goliath,9780141978956,34.0,Malcolm Gladwell,Penguin UK,2014-06-01,英国,,155.24,1,0,1,63.94,General / Misc
Disney's land : Walt Disney and the invention of the amusement park that changed the world,9781501190810,150.0,"Snow, Richard, 1947-",Scribner,2019,New York,408,791.068,0,0,0,,Arts
Disorder in the Court: Great Fractured Moments in Courtroom History,9780393319286,74.0,"DIXIT, AVINASH; NAL",W. W. Norton & Company,1999-08-17,美国,,347.73,1,1,2,54.07,Social Sciences
Dune,9780441172719,50.0,Frank Herbert,Ace Books,2019,USA,884  ,813.54,1,0,1,62.92,Literature
Economics:HL&SL for the IB Diploma,9787547834541,180.0,"Huang Lechuan,Zhao Yidi",上海科学技术出版社,2017.04   ,上海,290p.     ,IB-3-EB-8,0,0,0,,Social Sciences
Elon Musk: How the Billionaire CEO of SpaceX and ...,9780753555644,75.0,"Vance, Ashlee",Ebury Publishing,2016-03-10,,416,338.7629,1,0,1,28.06,Social Sciences
English B Course Companion,9780199129683,304.0,Kawther Saa'd AIDin,OXFORD,2012      ,NEW YORK,413页     ,IB-2-E-1,0,0,0,,Language
English B for the IB Diploma,9781107654228,325.0,Brad Philpot,[出版者不详],2013      ,[出版地不,366页     ,IB-2-E-1,0,0,0,,Language
Environmental Systems and Societies,9781447990420,407.0,"Andrew Davis,Garrett Nagle",Pearson,2015      ,London,492p.     ,IB-4-SC-1,0,0,0,,Science
Environmental Systems and societies for the IB Diploma Study and Revision Guide,9781471899737,172.0,"Andrew Davis,Garrett Nagle",Hodder Education,2017      ,UK.,177p.     ,IB-4-SC-1,0,0,0,,Science
Exam Practice Workbook for Mathematics Analysis and Approaches HL,9781398321878,169.0,"Paul Fannon, Vesna Kadelburg, Stephen Ward",Hodder Education,2021-02-26,UK,224,IB-5-M-1,0,0,0,,Mathematics
FAHRENHEIT 451,345342968,35.0,"Bradbury, Ray,",Ballantine Books,          ,new york,190页     ,813.54,0,0,0,,Literature
False Justice: Eight Myths that Convict the Innocent,9781138783003,225.0,Petro,Routledge,2018-12-06,英国,,320.97,1,0,1,47.79,Social Sciences
Fathers and Sons,9780141441337,52.0,Ivan Sergeevich  Turgenev,Penguin USA,2009-11-24,美国,,891.73,0,0,0,,Literature
Five Survive,9780593704899,51.0,"Jackson, Holly",Delacorte Press,2022-11-29,,0,823.92,1,0,1,18.86,Literature
Flipped,9780375811746,67.0,Wendelin Van Draanen,Random House US,2001-10-09,美国,,813.6,2,0,2,27.89,Literature
"GUNS, GERMS, AND STEEL",393317552,12.48,"Diamond, Jared M.",[出版者不详],          ,New York,494页     ,303.4,0,0,0,,Social Sciences
"Girl, woman, other",9780241984994,70.0,"Evaristo, Bernardine, 1959-",Penguin,2020,UK,453,823.914,1,0,1,39.82,Literature
Go Set a Watchman,9781784755287,30.0,"Lee, Harper",Cornerstone,2016-05-05,,288,813.54,1,0,1,6.24,Literature
HBRs 1 Must Reads on Strategy,9781422157985,103.0,Harvard Business Review,Harvard Business Review Press,2011-02-07,美国,,658.401,1,0,1,0.02,Science
Harry Potter and the Chamber of Secrets,9781408898154,102.0,"Rowling, J. K.",Bloomsbury UK,,,,823.914,1,0,1,13.25,Literature
Harry Potter and the Sorcerer's Stone,9781408883808,103.0,"Rowling, J. K.; Dellepiane Rawson, Alicia",Bloomsbury UK,,,,823.914,1,0,1,6.77,Literature
How We Live,9780679781400,58.0,Sherwin B. Nuland,Vintage USA,1998-05-26,美国,,612,1,0,1,54.85,Science
"How to Make Small Talk: Conversation Starters, Exercises, and Scenarios",9781507204993,43.0,Melissa Wadsworth,Adams Media,2017-10-10,美国,,177.2,1,0,1,27.89,General / Misc
I Know This to Be True: Ruth Bader Ginsburg ( I Know This to Be True ),9781797200163,66.0,"Geoff Blackwell,Ruth Hobday",Chronicle Books,2020-03-24,美国,,347.73,1,0,1,68.19,Social Sciences
IB Biology Higher Level for exams 216 + (OSC IB Revision Guides for the International Baccalaureate,9781907374968,324.0,Ashby Merson,,          ,,323页     ,IB-4-BI-2,0,0,0,,Science
IB Chemistry Higher Level for exams 216 + (OSC IB Revision Guides for the International Baccalaurea,9781910689004,324.0,Cameron Lumsden,,          ,,203页     ,IB-4-CH-3,0,0,0,,Science
IB Prepared:Approach your exams the IB way-Mathematics HL,1906345198,20.7,"David Harris,Irene Owen",IBO,          ,UK,185页     ,IB-5-M-1,0,0,0,,Mathematics
IBDP中文A文学课程专题拓展论文及个人口头评论优秀范例点评,9789620441417,128.0,"苏媛,李萍著",三联书店(香港)有限公司,2018      ,香港,249页     ,IB-1-CH-1,0,0,0,,Literature
IBDP中文A文学课程试卷(1)7分范文点评,9789620437946,0.0,李萍,三联书店(香港)有限公司,2015      ,香港,246页     ,IB-1-CH-1,0,0,0,,Literature
Ib Diploma Programme Physics 2023 Edition Study Guide,9781382016698,288.0,"Kirk, Tim","Oxford University Press, USA",2023-10-05,UK,216 页,IB-4-PH-5,0,0,0,,Science
Il Duro,9780141398631,10.0,"Lawrence, D. H. (David Herbert), 1885-1930",PENGUIN BOOKS,,,,914.504,1,0,1,0.18,Social Sciences
In a Different Voice : Psychological Theory and Womens Development,9780674970960,122.0,Carol Gilligan,Harvard University Press,2016-08-30,美国,,305.42,0,0,0,,Social Sciences
Klara and the Sun,9780593311295,68.0,Kazuo Ishiguro,Knopf Publishing Group,2022-03-01,美国,,823.91,0,0,0,,Literature
LBS:  12 Flush,9780241251478,10.0,Virginia Woolf,penguin uk,2016-03-03,英国,,823.91,0,0,0,,Literature
Literary Theory: A Very Short Introduction,9780199691340,48.0,Jonathan Culler,Oxford University Press UK,2011-07-28,英国,,801.95,1,0,1,65.78,Literature
Little Book of Politics,9780241426432,45.0,DK,Dorling Kindersley Ltd,2020-05-07,美国,,320,2,0,2,82.4,Social Sciences
MATLAB数学建模,9787302603122,118.0,李昕著,清华大学出版社,2022,北京,472页,O141.4,0,0,0,,Science
Macbeth,9780007350988,10.0,"Shakespeare, William",William Collins,2016-09-06,,288,822.33,1,0,1,49.01,Literature
Mathematics for the international student HL(Core)(附光盘一张),9781921972119,428.0,,[出版者不详],          ,[出版地不,832页     ,IB-5-M-1,0,0,0,,Mathematics
