Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
Siddhartha,9780553208849,25.0,"Hesse, Hermann",Bantam,,Toronto ; New York :,152,833.912,3,0,3,112.19,Literature
Signet Classics: Black Beauty,9780451531742,13.0,Anna Sewell,Signet,2011-01-04,美国,,823.8,1,0,1,46.65,Literature
Signet Classics: Jane Eyre,9780451530912,13.0,Charlotte Bronte,Signet,2008-04-01,美国,,823.8,2,0,2,42.39,Literature
Simply psychology,9780241515679,90.0," Eysenck, Michael W",,,,,150,1,0,1,65.05,General / Misc
Sophie’s World,9780374530716,66.0,Jostein Gaarder,Macmillan US,2007-03-20,美国,,839.82374,0,0,0,,Literature
Strangers Drowning,9781846143991,59.0,Larissa MacFarquhar,penguin uk,2016-09-29,英国,,170,1,0,1,114.99,General / Misc
"Surely You’re Joking,Mr. Feynman!",9780393355628,84.0,Richard P. Feynman,W. W. Norton & Company,2018-02-06,美国,,530.092,0,0,0,,Science
The American pageant,9789814732345,402.0,"Bailey, Thomas Andrew, 1902-1983; Cohen, Lizabeth; Kennedy, David M.",Cengage,,Singapore,1012,IB-3-H-3,0,0,0,,Social Sciences
The Baron in the Trees,9780544959118,49.0,Italo Calvino,Mariner Books,2017-10-03,美国,,853.91,0,0,0,,Literature
The Bell Jar,9780061148514,83.0,"Plath, Sylvia",Harper Perennial,2013-06-11,New York,243,813.54,0,0,0,,Literature
The Brass Verdict,9781409155768,47.0,Michael Connelly,Orion Publishing Group,2014-11-06,英国,,813.54,0,0,0,,Literature
The Complete Yes Prime Minister: The Diaries of ...,9780563207733,110.0,Jonathan Lynn and Sir Anthony Jay,Ebury Publishing,1989-06-01,,512,823.914,1,0,1,,Literature
The Great Gatsby,9780743273565,68.0,F. Scott Fitzgerald,SIMON & SCHUSTER,2004-10-01,New York,180,813.52,0,0,0,,Literature
The Hitchhikers Guide to the Galaxy,9781529034523,51.0,Douglas Adams,Macmillan UK,2020-03-05,英国,,823.914,1,0,1,18.06,Literature
The Martian : a novel,9781785031137,75.0,"Weir, Andy",Penguin,2014,UK,369,813.6,1,0,1,0.01,Literature
The Masque of the Red Death,9780241573754,47.0,Edgar Allan Poe,Penguin UK,2022-08-25,英国,,813.3,1,1,2,82.01,Literature
The Meritocracy Trap,9780141984742,58.0,Daniel Markovits,penguin uk,2020-08-06,英国,,305.55,1,0,1,,Social Sciences
The Notebooks of Malte Laurids Brigge,9780141182216,41.0,Rainer Maria Rilke,penguin uk,2004-07-29,英国,,833.91,1,0,1,,Literature
The Pearl,9780141394909,35.0,John Steinbeck,Penguin UK,2015-02-03,英国,,813.52,0,0,0,,Literature
The Picture of Dorian Gray,9780785839972,42.0,Oscar Wilde,Chartwell Books,2021-10-19,英国,,823.8,2,0,2,112.06,Literature
The Picture of Dorian Gray (Wordsworth Classics),9781853260155,32.0,Oscar Wilde,Wordsworth,1992-05-05,英国,,823.8,1,0,1,26.95,Literature
The Sound and the Fury,9780099475019,28.0,William Faulkner,Random House UK,2009-05-07,英国,,813.52,1,0,1,,Literature
The Thing about Jellyfish,9780316380843,86.0,Ali Benjamin,"Little, Brown Books for Young Readers",2017.4,New York,,813.6,0,0,0,,Literature
The Wiley guide to writing essays about literature,9781118571231,289.0,"Headrick, Paul, 1957-",Wiley,2014,Canada,193,808.0668,1,0,1,,Literature
The fellowship of the ring : being the first part of The lord of the rings,9780261103573,26.0,"Tolkien, J. R. R.",,,,407,823.912,1,0,1,0.98,Literature
The laws of thermodynamics : a very short introduction,9780199572199,66.0,"Atkins, P. W. (Peter William), 1940-",Oxford University Press,103,New York,103,536.7,0,0,0,,Science
The return of the king : being the third part of The lord of the rings,9780007488346,21.0,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",HarperCollins,2002,London,1567,823.912,1,0,1,0.98,Literature
The three Theban plays,9780140444254,62.0,"Sophocles; Fagles, Robert; Knox, Bernard, 1914-2010",penguin uk,,UK,430,882.01,1,0,1,1.7,Literature
The time keeper,9780751541182,75.0,"Albom, Mitch 1958-",Sphere,2013,UK,238,813.6,1,0,1,,Literature
The two towers; : being the second part of The Lord of the rings,9780007488322,21.0,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",HarperCollins,2002,London,971,823.912,1,0,1,0.98,Literature
The woman in white,9780141389431,35.0,"Collins, Wilkie, 1824-1889; Sutherland, John, 1938-; Sweet, Matthew; Sucksmith, Harvey Peter",Penguin UK,2012,UK,718,823.8,4,1,5,45.23,Literature
TheDiaryofaYoungGirl,9780553577129,31.0,Anne Frank,Bantam,1997-03-01,美国,,940.534,0,0,0,,Social Sciences
"Thinking, fast and slow",9780141033570,55.0,"Kahneman, Daniel, 1934-; Kahneman, Daniel, 1934-",Penguin UK,2012,UK,499,153.42,0,0,0,,General / Misc
To Be A Machine,9781101911594,53.0,Mark OConnell,Anchor Books,2018-01-16,美国,,306.46,1,0,1,40.66,Social Sciences
Vanity fair,9780008324209,32.0,"Thackeray, William Makepeace, 1811-1863; Dames, Nicholas, 1970-; Stewart, J. I. M. 1906-1994; Ridley, M. R. 1890-1969",Harper Collins UK,2018,UK,918,823.8,1,0,1,0.98,Literature
WESTERN CIVILIZATION:SECOND EDITION,395870682,12.0,,[出版者不详],          ,[出版地不,656页     ,IB-3-AS-1,0,0,0,,Social Sciences
Where the crawdads sing,9781472154668,75.0,"Owens, Delia",Corsair,2018,UK,370,813.6,1,0,1,161.01,Literature
Word Cloud Classics: Frankenstein,9781607109457,61.0,Mary Shelley,Canterbury Classics,2013-10-15,美国,,823.7,0,0,0,,Literature
Wordsworth Collectors Editions：Great Expectations,9781840228014,38.0,Charles Dickens,Wordsworth,2020-09-02,英国,,823.8,2,1,3,94.59,Literature
Workbook Mathematics HL,9789881686862,218.0,Tim Lee,Cana Academy Limited,2013      ,H.K,149p.     ,IB-5-M-1,1,0,1,,Mathematics
You Are Not Alone,9781529010770,35.0,"Greer Hendricks , Sarah Pekkanen",Pan Macmillan,2021-02-02,英国,,813.6,0,0,0,,Literature
cambridge as & a level further math 1 student's book,9781510421783,238.0,"Sophie Goldie, Rose Jewell",Hodder,2018.03,英国,198,AL-5-M-1,1,0,1,,General / Misc
cambridge as & a level further math 2 student's book,9781510421790,238.0,"Rose Jewell, Jean-Paul Muscat",Hodder,2018.03,英国,198,AL-5-M-1,1,0,1,,General / Misc
