Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
"汪曾祺散文集, 人间知味 ",9787538756579.0,38.0,汪曾祺 (1920~1997) 著, 时代文艺出版社, 2018,长春 ,361页 : 彩图 ,I267,1,0,1,,Literature
沉沦·流放与王国,9787532789115.0,62.0,（法）加缪著,上海译文出版社有限公司,2022,上海,319页,I565.45,1,0,1,4.97,Literature
沉默的大多数,9787530220368.0,59.0,王小波著,北京十月文艺出版社,2021,北京,227页,I267.1,2,1,3,93.14,Literature
沉默的羔羊,9787544784689.0,49.0,(美)哈里斯著,译林出版社,2021,南京,369页,I712.45,3,2,5,31.64,Literature
沙盘游戏疗法儿童心理案例精析,9787523604687.0,89.0,余文玉 著,中国科学技术出版社 ,2024,北京 ,277页 ,B844.1,1,0,1,0.0,General / Misc
没有人给他写信的上校,9787544292443.0,35.0,(哥伦)马尔克斯著,南海出版公司,2018.06,,109,I775.45,1,0,1,13.97,Literature
河边的错误,9787538755961.0,42.0,余华著,时代文艺出版社,2018.01   ,长春,207页     ,I247.5,1,0,1,59.13,Literature
法兰西宗教战争,9787507554588.0,92.0,（英）阿姆斯特朗著,华文出版社,2021,北京,354页,B929.565,0,0,0,,General / Misc
法律,9787544755054.0,39.0,(英)瓦克斯著;殷源源译,译林出版社,2016.04   ,南京,167页     ,D90,3,0,3,84.0,Social Sciences
波提切利：优雅栖身,9787559631299.0,98.0,(法)米里耶勒·内沃 著, 北京联合出版公司, 2019,北京 ,111页 : 彩图 ,J205.546,1,0,1,8.26,Arts
波洛圣诞探案记,9787513338110.0,42.0,克里斯蒂,新星出版社,2023,北京,269页,I561.45,1,0,1,117.21,Literature
泪之地,9787218156408.0,98.0,（美）哈姆斯著,广东人民出版社,,广州,,K404,1,0,1,59.16,Social Sciences
洛丽塔,9787532780686.0,76.0,（美）弗拉基米尔·纳博科夫(Vladimir Nabokov)著 主万译,上海译文出版社有限公司,2019,上海,502页,I712.45,2,1,3,30.23,Literature
洞穴奇案,9787108039873.0,23.0,（美）萨伯著,生活·读书·新知三联书店,2012,北京,157页,D971.2,1,1,2,75.24,Social Sciences
洞穴奇案 ,9787510891779.0,56.0,"(美)彼得·萨伯 (Suber, Peter) 著", 九州出版社, 2020,北京 ,174页 ,D971.2,1,0,1,0.05,Social Sciences
活下去的理由 ,9787210097143.0,38.0,"(英)马特·海格 (Haig, Matt 1975~) 著", 江西人民出版社, 2018,南昌 ,227页 ,I561.65,1,1,2,25.7,Literature
流俗地 ,9787530221280.0,55.0,(马来)黎紫书 (女， 1971~) 著, 北京十月文艺出版社, 2021,北京 ,"29,476页 : 彩照 ",I338.45,2,1,3,46.09,Literature
流浪地球2 电影制作手记,9787521749724.0,122.0,朔方 主编 编著,中信出版集团股份有限公司,2023,北京,475页 : 图，照片,J905.2,0,0,0,,Arts
流行病 ,9787568060134.0,88.0,"(澳)多尔蒂 (Doherty, Peter C.) 著", 华中科技大学出版社, 2020,武汉 ,"25,318页 : 图 ",R181,1,0,1,1.81,General / Misc
浮出历史地表 : 现代妇女文学研究,9787301293577.0,59.0,孟悦 (1956~) 著,北京大学出版社,2018,北京,291页,I206.7,1,0,1,20.64,Literature
浮士德,9787532752607.0,78.0,歌德,上海译文出版社,2011,上海,"18,10,562页",I516.34,5,0,5,129.14,Literature
海上钢琴师,9787540482732.0,48.0,(意)巴里科著,湖南文艺出版社,2017.09   ,长沙,173页     ,I546.45,2,0,2,32.81,Literature
海德格尔的最后之神,9787100213011.0,98.0,张静宜著,商务印书馆,2023,北京,304页,B089,1,0,1,35.82,General / Misc
海明威文集(12),9787532781584.0,66.0,（美）海明威著,上海译文出版社有限公司,2019,上海,250页,I712.15,1,0,1,83.0,Literature
海明威文集(13),9787532781584.0,66.0,（美）海明威著,上海译文出版社有限公司,2019,上海,218页,I712.15,1,0,1,170.99,Literature
海明威文集(14),9787532781584.0,66.0,（美）海明威著,上海译文出版社有限公司,2019,上海,180页,I712.15,1,0,1,12.98,Literature
海明威文集(15),9787532781584.0,66.0,（美）海明威著,上海译文出版社有限公司,2019,上海,326页,I712.15,1,0,1,12.98,Literature
海明威文集(9),9787532781584.0,66.0,（美）海明威著,上海译文出版社有限公司,2019,上海,153页,I712.15,1,0,1,12.98,Literature
海明威短篇小说全集.上,9787532781560.0,69.0,(美)海明威(Ernest Hemingway)著 陈良廷，蔡慧等译,上海译文出版社有限公司,2019,上海,2册(987页),I712.45,0,0,0,,Literature
海洋的子民,9787301323182.0,88.0,(美)汤普森著,北京大学出版社,2021,北京,"17,443页",K606-49,1,0,1,81.8,Social Sciences
海浪 ,9787532757459.0,45.0,"(英)弗吉尼亚·吴尔夫 (女，Woolf, Virginia 1882~1941) 著", 上海译文出版社, 2012,上海 ,"11,271页 ",I561.45,1,0,1,3.35,Literature
消失的地平线,9787547055564.0,38.0,(英) 希尔顿 著,万卷出版公司 ,2021.5,沈阳,216页,I561.45,1,0,1,34.88,Literature
消失的真实,9787521735611.0,88.0,金观涛著,中信出版集团股份有限公司,2022,北京,"49,352页",N02,1,0,1,39.01,General / Misc
深度学习 ,9787115461476.0,168.0,"(美)伊恩·古德费洛 (Goodfellow, Ian) 著", 人民邮电出版社, 2017,北京 ,"10,500页 ",TP181,2,1,3,50.72,Science
深度学习：智能时代的核心驱动力量,9787508698359.0,88.0,"(美)特伦斯·谢诺夫斯基 (Sejnowski, Terrence) 著", 中信出版集团股份有限公司, 2019,北京 ,"17,378页 : 图，照片 ",TP181,1,1,2,59.58,Science
清末民国人口贩卖与家庭生活,9787208170841.0,89.0,任思梅著,上海人民出版社,2022,上海,427页,D693.98,1,0,1,,Social Sciences
清洁女工之死,9787513339414.0,42.0,（英）克里斯蒂著,新星出版社,2022,北京,236页,I561.45,1,0,1,117.21,Literature
清洁女工手册 ,9787530221426.0,69.0,"(美)露西亚·伯林 (Berlin, Lucia 1936.11~2004.11) 著", 北京十月文艺出版社, 2021,北京 ,"20,450页 ",I712.45,1,0,1,84.74,Literature
