feature,popular_mean,non_popular_mean,diff,lift
ISBN,9786164099749.9,9679047541870.855,107116557879.04492,1.011066849027827
active_days,104.59322033898304,28.84014532243415,75.75307501654889,3.626653720694748
median_pages,368.04761904761904,357.38793103448273,10.659688013136304,1.029826659177553
平均借阅时间(天),49.04334203655352,38.60255464480874,10.440787391744777,1.2704688196885656
median_price,70.95133171912833,77.1349863760218,-6.1836546568934665,0.9198333344255867
Price,71.0002421307506,77.17367847411444,-6.173436343363832,0.9200059338180372
record_count,4.399515738498789,1.7075386012715712,2.691977137227218,2.576524908557004
总借入和续借量,2.6319612590799033,0.8083560399636693,1.823605219116234,3.255943085670757
book_age,13.436363636363636,14.76536312849162,-1.3289994921279842,0.9099920888797165
publication_year,2012.5636363636363,2011.2346368715084,1.3289994921278776,1.0006607878900668
总借入,1.9782082324455206,0.8083560399636693,1.1698521924818512,2.44719917294665
return_count,1.7675544794188862,0.8991825613079019,0.8683719181109844,1.96573483014161
总续借,0.6537530266343826,0.0,0.6537530266343826,
renew_count,0.6537530266343826,0.0,0.6537530266343826,
unique_users,1.6246973365617434,1.0326975476839237,0.5919997888778197,1.5732557322378886
Pages,358.3421052631579,358.0086956521739,0.3334096109840061,1.0009312891419484
unique_grades,1.2663438256658595,1.025431425976385,0.24091239968947442,1.2349376014686548
borrow_count,0.0,0.0,0.0,
borrow_per_user,0.0,0.0,0.0,
